à		Vit, I, E
khặc khừ		Aa
khăm		Aa
khăm khắm		Aa
khẳm		Aa
khắm		Aa
khắm lằm lặm		Aa
khắm lặm		Aa
khăn		N, Ng
khăn áo		N, Ng
khăn đầu rìu		N, Ng
khăn đóng		N, Ng
khăn gói		N, Ng
khăn khẳn		Aa
khăn mỏ quạ		N, Ng
khăn quàng		N, Ng
khăn san		N, Ng
khăn vuông		N, Ng
khăn xếp		N, Ng
khẳn		Aa
khắn		Vt
khăng		N
khăng khăng		Aa
khăng khít		Aa
khằng		N, Vt
khằng khặc		Aa
khẳng định		Vt
khẳng khái		Aa
khẳng kheo		Aa
khẳng khiu		Aa
khắp		Nn, Nl, Aa
khắp chợ cùng quê		Np
khắt khe		Aa
khấc		N
khâm liệm		Vt
khâm mạng		Vt
khâm mệnh		Vt
khâm phục		Vt
khâm sai		N, Ng
khâm sứ		N, Ng
khâm thiên giám		N, Ng
khấm khá		Aa
khẩn		Vt, Aa
khẩn cấp		Aa
khẩn cầu		Vt
khẩn hoang		Vit
khẩn khoản		Vt, Aa
khẩn nài		Vt
khẩn thiết		Aa
khẩn trương		Aa
khẩn yếu		Aa
khấn		Vt
khấn khứa		Vit
khấn vái		Vt
khấp kha khấp khểnh		Aa
khấp khểnh		Aa
khấp khởi		Vitim
khập khễnh		Aa
khập khiễng		Aa
khất		Vt
khất khưởng		Aa
khất lần		Vit
khất sĩ		N, Ng
khất thực		Vit
khật khà khật khừ		Aa
khật khà khật khưỡng		Aa
khật khừ		Aa
khật khưỡng		Aa
khâu		N, Nu, Vt
khâu vá		Vt
khâu vắt		Vit
khẩu		N
khẩu chiến		Vit
khẩu cung		N
khẩu độ		N
khẩu độ tỉ đối		N
khẩu đội		N, Ng
khẩu đội trưởng		N, Ng
khẩu hiệu		N, Ng
khẩu khí		N
khẩu lệnh		N, Ng
khẩu ngữ		N
khẩu phần		N, Ng
khẩu phật tâm xà		X
khẩu thiệt vô bằng		X
khẩu trang		N, Ng
khẩu vị		N
khấu		N, Vt
khấu đầu khấu đuôi		Vit
khấu đuôi		Ng
khấu hao		Vt
khấu trừ		Vt
khấu trừ hao mòn		Vit
khe		N
khe khắt		Aa
khe khẽ		Aa
khe khé		Aa
khẻ		Vt
khẽ		Aa
khẽ khàng		Aa
khé		Aa
khẹc		N, Ng
khem		Vt, Aa
khem khổ		Aa
khen		Vt
khen khét		Aa
khen lao		Vt
khen ngợi		Vt
khen phò mã tốt áo		X
khen thưởng		Vt
khèn		N, Ng
khén		Aa
kheo		N, Ng, Aa
kheo khư		Aa
khéo		Aa, Jd, Ja
khéo léo		Aa
khéo mồm		Aa
khéo mồm khéo miệng		Aa
khéo tay		Aa
khép		Vt
khép nép		Aa
khét		Aa
khét lèn lẹt		Aa
khét lẹt		Aa
khét tiếng		Aa
khê		Aa
khê đọng		Vit
khề khà		Aa
khế		N, Ng
khế cơm		N, Ng
khế ngọt		N, Ng
khế ước		N, Ng
khệ nệ		Aa
khênh		Vt
khềnh		Vit
khểnh		Vit, Aa
khệnh khạng		Aa
khệnh khoạng		Aa
khêu		Vt
khêu gợi		Vt, Aa
khều		Vt
khi		N, Nl, Vt, Vim, Vtim
khi dể		Vt, Vim, Vtim
khi hồi		Nl
khi không		Jt, Jr
khi mạn		Vt, Vim, Vtim
khi quân		Vit
khỉ		N, Ng
khỉ dạng người		N, Ng
khỉ độc		N, Ng
khỉ đột		N, Ng
khỉ gió		N, Ng
khỉ ho cò gáy		Np
khí		N, Ng, Jd
khí áp		N, Ng
khí áp kế		N, Ng
khí các-bo-nic		N, Ng
khí cacbonic		N, Ng
khí carbonic		N, Ng
khí cầu		N, Ng
khí chất		N
khí công		N
khí cốt		N
khí cụ		N, Ng
khí động học		N
khí đốt		N, Ng
khí gió		N, Ng
khí giới		N, Ng
khí hậu		N
khí hậu học		N
khí hiếm		N, Ng
khí huyết		N, Ng
khí hư		N, Ng
khí kém		N, Ng
khí khái		Aa
khí lực		N
khí nhạc		N
khí nổ		N, Ng
khí phách		N
khí quan		N
khí quản		N, Ng
khí quyển		N, Ng
khí sắc		N
khí sinh		Vit
khí tài		N, Ng
khí than		N, Ng
khí thế		N
khí thiên nhiên		N, Ng
khí tiết		N
khí tĩnh học		N, Ng
khí trơ		N, Ng
khí tượng		N
khí tượng học		N
khí tượng nông nghiệp		N
khí vị		N
khía		N, Vt
khía cạnh		N
khịa		Vt
khích		Vt
khích bác		Vt
khích động		Vt
khích lệ		Vt
khích nộ		Vit
khiêm		Aa
khiêm nhường		Aa
khiêm nhượng		Aa
khiêm tốn		Aa
khiếm diện		Vit
khiếm khuyết		N, Aa
khiếm nhã		Aa
khiếm thị		Aa
khiếm thính		Aa
khiếm thực		N
khiên		N, Ng
khiên chế		Vtv
khiên cưỡng		Aa
khiền		Vt
khiển		Vt
khiển trách		Vt
khiến		Vt
khiêng		Vt
khiêng vác		Vt
khiễng		Aa
khiếp		Vitim, Aa
khiếp đảm		Vitim
khiếp đởm		Vitim
khiếp nhược		Aa
khiếp sợ		Vt, Vim, Vtim, Aa
khiếp vía		Aa
khiếp vía kinh hồn		Aa
khiêu chiến		Vit
khiêu dâm		Vit
khiêu hấn		Vit
khiêu khích		Vt
khiêu vũ		Vit
khiếu		N, N, Vt
khiếu kiện		Vt
khiếu nại		Vt
khiếu oan		Vit
khiếu tố		Vt
khin khít		An
khinh		Vt, Vim, Vtim
khinh bạc		Vit
khinh bỉ		Vt, Vim, Vtim
khinh binh		N, Ng
khinh chiến		Vit
khinh dể		Vt, Vim, Vtim
khinh khi		Vt, Vim, Vtim
khinh khí		N, Ng
khinh khí cầu		N, Ng
khinh khích		Aa
khinh khỉnh		Aa
khinh kị binh		N, Ng
khinh kỵ binh		N, Ng
khinh mạn		Vt, Vim, Vtim
khinh miệt		Vt, Vim, Vtim
khinh nhờn		Vt, Vim, Vtim
khinh quân		N, Ng
khinh rẻ		Vt, Vim, Vtim
khinh suất		Aa
khinh thị		Vt, Vim, Vtim
khinh thường		Vt, Vim, Vtim
khít		An
khít khao		Aa, An
khít khìn khịt		An
khít khịt		An
khít rịt		An
khịt		Vt
khíu		Vt
kho		N, Ng, Vt
kho bạc		N, Ng
kho bãi		N, Ng
kho tàng		N, Ng
kho tàu		Vit
khò khè		Aa
khỏ		Vt
khó		Aa
khó ăn khó nói		Vit
khó chịu		Aa
khó coi		Aa
khó dễ		Aa
khó đăm đăm		Aa
khó gặm		Aa
khó khăn		N, Aa
khó lòng		Aa
khó người dễ ta		X
khó nhọc		Aa
khó ở		Aa
khó tính		Aa
khó tính khó nết		Aa
khoa		Nu, Vt
khoa bảng		N
khoa chân múa tay		Vit
khoa cử		N
khoa danh		N
khoa giáo		N
khoa giáp		N
khoa hoạn		N
khoa học		N, Aa
khoa học cơ bản		N
khoa học kĩ thuật		N
khoa học kỹ thuật		N
khoa học người máy		N
khoa học nhân văn		N
khoa học quân sự		N
khoa học tự nhiên		N
khoa học ứng dụng		N
khoa học viễn tưởng		N
khoa học xã hội		N
khoa mục		N, Ng
khoa ngoại		N, Ng
khoa nội		N, Ng
khoa trương		Vit
khoa trường		N, Ng
khoa trưởng		N, Ng
khoả		Vt
khoả lấp		Vt
khoả thân		Aa
khoả tử		N, Ng
khoá		N, Ng, Vt
khoá chữ		N, Ng
khoá kéo		N, Ng
khoá luận		N, Ng
khoá nòng		N, Ng
khoá sinh		N, Ng
khoá sổ		Vit
khoá trình		N, Ng
khoác		Vt
khoác lác		Vit
khoai		N, Ng
khoai dong		N, Ng
khoai đao		N, Ng
khoai khoái		Aa
khoai lang		N, Ng
khoai mài		N, Ng
khoai mì		N, Ng
khoai môn		N, Ng
khoai mùa		N, Ng
khoai nưa		N, Ng
khoai nước		N, Ng
khoai riềng		N, Ng
khoai sọ		N, Ng
khoai tây		N, Ng
khoai tía		N, Ng
khoai trụng		N, Ng
khoai từ		N, Ng
khoai vạc		N, Ng
khoái		Aa
khoái cảm		N
khoái cảm thẩm mĩ		N
khoái cảm thẩm mỹ		N
khoái chá		Aa
khoái chí		Aa
khoái hoạt		Aa
khoái khẩu		Aa
khoái lạc		N, Aa
khoái trá		Aa
khoan		N, Ng, Vt, Aa
khoan dung		Vit
khoan đãi		Vt
khoan hoà		Aa
khoan hồng		Vit
khoan khoái		Aa
khoan nhượng		Vt
khoan thai		Aa
khoan thứ		Vt
khoản		N, Nu
khoản đãi		Vt
khoán		N
khoán		N, Vit, Vt
khoán sản		Vit
khoán trắng		Vit
khoán ước		N, Ng
khoang		Ng
khoang nhạc		N, Ng
khoảng		N, Nu
khoảng âm		N, Ng
khoảng cách		N, Ng
khoảng khoát		Aa
khoáng		N, Ng
khoáng chất		N, Ng
khoáng dật		Aa
khoáng đãng		Aa
khoáng đạt		Aa
khoáng sản		N, Ng
khoáng sàng		N, Ng
khoáng sàng học		N
khoáng vật		N, Ng
khoáng vật học		N
khoanh		N, Vt
khoanh tay		Vt
khoảnh		N, Aa
khoảnh khắc		N
khoát		Vt, Aa
khoát đạt		Aa
khoáy		N, Ng
khoăm		Aa
khoằm		Aa
khoằm khoặm		Aa
khoặm		Aa
khoắng		Vt
khóc		Vit
khóc dạ đề		N, Ng
khóc dở mếu dở		Vit
khóc đứng khóc ngồi		Vit
khóc lóc		Vit
khóc than		Vit
khoe		Vt
khoe khoang		Vt
khoe mẽ		Vit
khoẻ		Vit, Aa
khoẻ khoắn		Aa
khoẻ mạnh		Aa
khoé		N, Ng
khoé hạnh		N, Ng
khoen		N
khoeo		N
khoèo		Vt, Aa
khoét		Vt
khoi		Vt
khỏi		Vt
khỏi phải nói		X
khói		N, Ng
khói hương		N, Ng
khói lửa		N, Ng
khom		Vt
khòm		Aa
khóm		N
khọm		Aa
khô		N, Aa
khô cằn		Aa
khô cứng		Aa
khô dầu		N, Ng
khô dầu lá		N, Ng
khô đét		Aa
khô héo		Aa
khô khan		Aa
khô khẳng		Aa
khô khốc		Aa
khô không khốc		Aa
khô mộc		N, Ng
khô ráo		Aa
khô vằn		N, Ng
khổ		Nu
khổ		Nu, Aa
khổ ải		N, Aa
khổ chiến		Vit
khổ chủ		N
khổ công		Aa
khổ cực		Aa
khổ dịch		Vit
khổ độc		Aa
khổ hạnh		Aa
khổ hình		N
khổ học		Vit
khổ luyện		Vit
khổ một nỗi		X
khổ nỗi		X
khổ não		Aa
khổ nhục		Aa
khổ qua		N, Ng
khổ sai		Vit
khổ sâm		N, Ng
khổ sâm nam		N, Ng
khổ sở		Aa
khổ tâm		Aa
khổ tận cam lai		X
khổ thân		Aa
khố		N, Ng
khố dây		N, Ng
khố đỏ		N, Ng
khố lục		N, Ng
khố rách áo ôm		Np
khố tải		N, Ng
khố vàng		N, Ng
khố xanh		N, Ng
khốc hại		Aa
khốc liệt		Aa
khôi		N
khôi hài		Vit, Aa
khôi khoa		N
khôi ngô		Aa
khôi nguyên		N
khôi phục		Vt
khôi vĩ		Aa
khối		N, Nu, I
khối lượng		Nu
khối phố		N, Ng
khối u		N, Ng
khôn		N, Aa, Jd
khôn ba năm dại một giờ		X
khôn cùng		Aa, Jd
khôn hồn		X
khôn khéo		Aa
khôn lẽ		Ja
khôn lỏi		Aa
khôn lớn		Aa
khôn ngoan		Aa
khôn nhà dại chợ		X
khôn thiêng		Aa
khôn xiết		Jd
khốn		Aa
khốn cùng		Aa
khốn đốn		Aa
khốn khó		Aa
khốn khổ		Aa
khốn kiếp		Aa
khốn một nỗi		X
khốn nỗi		X
khốn nạn		Aa
khốn quẫn		Aa
không		Nn, Nl
không		Nn, Ja, Aa
không bào		N, Ng
không biết chừng		X
không bờ bến		Aa
không bù		X
không cánh mà bay		X
không chiến		Vit
không chừng		
không dưng		Jr
không đâu		Aa
không đâu vào đâu		Aa
không đầu không đũa		Aa
không đội trời chung		Aa
không gian		Ng
không hẹn mà nên		Aa
không ít thì nhiều		X
không kèn không trống		Aa
không khéo		Jd
không khí		N, Ng
không kích		Vit
không lẽ		Ja
không lực		N, Ng
không lưu		Vit
không mấy khi		Jr
không môn		N
không một tấc đất cắm dùi		X
không nhiều thì ít		X
không những		Cc
không nói không rằng		Aa
không phận		N, Ng
không quân		N, Ng
không tài gì		Ja
không tài nào		Ja
không tặc		N, Ng
không thể		Ja
không tiền khoáng hậu		Aa
không trách		Cc
không trung		N, Ng
không tưởng		Aa
không vận		Vit
Khổng giáo		N
khổng lồ		An
khổng tước		N, Ng
khống		Aa
khống chế		Vt
khống chỉ		Aa
khơ khớ		Aa
khờ		Aa
khờ dại		Aa
khờ khạo		Aa
khớ		Aa
khơi		Nl, Vt, Aa
khơi gợi		Vt
khơi mào		Vit
khởi		Vt
khởi binh		Vt
khởi chiến		Vit
khởi công		Vt
khởi đầu		Vit
khởi điểm		N
khởi động		Vt
khởi hành		Vit
khởi hấn		Vit
khởi loạn		Vit
khởi nghĩa		N, Vit
khởi nghiệp		Vit
khởi nguyên		N
khởi phát		Vit
khởi sắc		N, Vit
khởi sự		Vit
khởi thảo		Vt
khởi thuỷ		Vit
khởi tố		Vt
khởi tử		N, Ng
khởi xướng		Vt
khới		Vt
khớp		N, Ng, Vt, Aa
khu		Nu
khu biệt		Vit, Aa
khu chế xuất		N, Ng
khu đệm		N, Ng
khu đội		N, Ng
khu phi quân sự		N, Ng
khu phố		N, Ng
khu tập thể		N, Ng
khu trù mật		N, Ng
khu trú		Vit
khu trục		N, Ng
khu trục hạm		N, Ng
khu tự trị		N, Ng
khu uỷ		N, Ng
khu vực		N, Ng
khu vực ảnh hưởng		N, Ng
khu xử		Vit
khù khì		Aa
khù khờ		Aa
khù khụ		Aa
khú		Aa
khua		N, Vt
khua chiêng gõ mõ		Vit
khua khoắng		Vit
khua môi múa mép		Vit
khuân		Vt
khuân vác		Vt
khuẩn		N, Ng
khuất		Vitim, Aa
khuất bóng		Vit, Aa
khuất khúc		Aa
khuất nẻo		Aa
khuất núi		Aa
khuất phục		Vt, Vim, Vtim
khuất tất		Vit, Aa
khuây		Vt
khuây khoả		Vt
khuấy		Vt
khuấy đảo		Vt
khuấy động		Vt
khúc		N, Nu
khúc chiết		Aa
khúc côn cầu		N, Ng
khúc khích		Aa
khúc khuỷu		Aa
khúc mắc		N, Aa
khúc nhôi		N
khúc nôi		N
khúc xạ		Vit
khục		Aa
khuê các		N, Ng
khuê phòng		N, Ng
khuếch đại		Vt
khuếch khoác		Vit
khuếch tán		Vit
khuếch trương		Vt
khui		Vt
khum		Vt
khúm na khúm núm		Vit
khúm núm		Vit
khung		N
khung cảnh		N, Ng
khung cửi		N, Ng
khung hình phạt		N, Ng
khung thành		N, Ng
khùng		Aa
khủng bố		Vt
khủng bố trắng		N
khủng hoảng		N, Vt
khủng hoảng chính trị		N
khủng hoảng kinh tế		N
khủng hoảng nội các		N
khủng khiếp		Vit, Aa
khủng khỉnh		Vit
khủng long		N, Ng
khúng khắng		Aa
khụng khiệng		Aa
khuôn		N, Ng, Vt
khuôn dạng		N, Ng
khuôn hình		N, Ng
khuôn khổ		Ng
khuôn mặt		N, Ng
khuôn mẫu		N, Ng
khuôn nhạc		N, Ng
khuôn phép		N
khuôn sáo		N
khuôn thiêng		N
khuôn vàng thước ngọc		Np
khuôn viên		N, Ng
khuôn xanh		N
khuông		N
khuơ		Vt
khụt khịt		Aa
khuy		N, Ng
khuy bấm		N, Ng
khuy tết		N, Ng
khuỵ		Vt
khuya		N, Aa
khuya khoắt		Aa
khuya sớm		N
khuyên		N, Vt
khuyên bảo		Vt
khuyên can		Vt
khuyên giải		Vit
khuyên giáo		Vit
khuyên lơn		Vt
khuyên nhủ		Vt
khuyên răn		Vt
khuyển		N, Ng
khuyển mã		N, Ng
khuyển ưng		N, Ng
khuyến cáo		N, Vt
khuyến dụ		Vt
khuyến học		Vit
khuyến khích		Vt
khuyến lâm		Vit
khuyến mãi		Vit
khuyến nghị		N, Vt
khuyến ngư		Vit
khuyến nông		Vit
khuyết		N, Vit, Aa
khuyết danh		Aa
khuyết điểm		N
khuyết tật		N
khuynh		Vt
khuynh diệp		N, Ng
khuynh đảo		Vt
khuynh gia bại sản		Vit
khuynh hướng		N
khuynh loát		Vit
khuynh thành		Vit
khuỳnh		Vt
khuỳnh tay ngai		Vit
khuỷnh		N
khuýp		Vit, Aa
khuỷu		N, Ng
khuỵu		Vt
khư khư		Aa, Jd
khừ khừ		Aa
khử		Vit
khứ hồi		Jr
khứa		N, Vt
khứng		Vt
khựng		Vit
khước		N
khước từ		Vt
khươi		Vt
khướt		Aa, Jd
khượt		Aa
khướu		N, Ng
khứu giác		N, Ng
ki		Aa
ki bo		Aa
ki cóp		Vt
ki lô		Nu
ki-mô-nô		Np
ki-na-crin		Np
ki-nin		Np
ki-ốt		Np
kì		N, Nu, Vt, Aa, Cc
kì ảo		Aa
kì bí		Aa
kì binh		N, Ng
kì cạch		Vt, Aa
kì cọ		Vt
kì công		N, Aa
kì cục		Vit, Aa
kì cùng		Jd
kì cựu		N
kì dị		Aa
kì diệu		Aa
kì đà		N, Ng
kì đài		N, Ng
kì giông		N, Ng
kì hạn		N
kì hào		N, Ng
kì kèo		Vit
kì khôi		Aa
kì khu		Aa
kì lạ		Aa
kì lão		N, Ng
kì lân		N, Ng
kì mục		N, Ng
kì ngộ		Vit
kì nhông		N, Ng
kì phiếu		N, Ng
kì phùng địch thủ		Np
kì quái		Aa
kì quan		N, Ng
kì quặc		Aa
kì tài		N, Aa
kì tập		Vit
kì thật		Cc
kì thị		Vt
kì thủ		N, Ng
kì thú		Aa
kì thuỷ		N
kì thực		Cc
kì tích		N
kì tình		Cc
kì vĩ		An
kì vọng		N, Vt, Vim, Vtim
kì yên		Vit
kỉ		N
kỉ cương		N
kỉ hà học		N
kỉ luật		N
kỉ lục		N, Ng
kỉ nguyên		N, Ng
kỉ niệm		N, Vt
kỉ vật		N, Ng
kỉ yếu		N, Ng
kĩ		Aa
kĩ càng		Aa
kĩ lưỡng		Aa
kĩ năng		N
kĩ nghệ		N
kĩ nghệ gia		N, Ng
kĩ nữ		N, Ng
kĩ sư		N, Ng
kĩ thuật		N, Ng, Aa
kĩ tính		Aa
kĩ xảo		N, Ng
kí		N, Ng, Vt
kí âm		Vit
kí âm pháp		N
kí cả hai tay		Vit
kí chủ		N
kí cóp		Vt
kí giả		N, Ng
kí giam		Vt
kí gửi		Vt
kí hiệu		N, Vt
kí hiệu học		N
kí hoạ		N, Ng, Vit
kí kết		Vt
kí lô		Nu
kí lục		N, Ng
kí ninh		N, Ng
kí quĩ		Vit
kí quỹ		Vit
kí sinh		Vit
kí sinh trùng		N, Ng
kí sự		N, Ng
kí tắt		Vit
kí tên		Vit
kí thác		Vt
kí túc		N, Ng, Vit
kí túc xá		N, Ng
kí tự		N, Ng
kí ức		N
kí vãng		N
kị		N, Vt
kị binh		N, Ng
kị binh bay		N, Ng
kị binh thiết giáp		N, Ng
kị khí		Vit
kị mã		N, Ng
kị nước		Aa
kị sĩ		N, Ng
kia		Nl, Pd, I
kia mà		X
kìa		Pd
kích		N, Vt, Aa
kích cỡ		Ng
kích dục		Vit
kích động		N, Vt
kích hoạt		Vt
kích tấc		Ng
kích thích		N, Vt
kích thích tố		N
kích thước		Ng
kịch		N, Ng
kịch bản		N, Ng
kịch bản phim		N, Ng
kịch câm		N, Ng
kịch chiến		Vit
kịch chủng		N, Ng
kịch cọt		N, Ng
kịch cợm		Aa
kịch cương		N, Ng
kịch hát		N, Ng
kịch liệt		Aa
kịch mục		N, Ng
kịch ngắn		N, Ng
kịch nhạc		N, Ng
kịch nói		N, Ng
kịch phát		Vit
kịch sĩ		N, Ng
kịch tác gia		N, Ng
kịch thơ		N, Ng
kịch tính		N
kịch trường		N, Ng
kiêm		Vt
kiêm ái		Vit
kiêm nhiệm		Vt
kiêm tính		Vt
kiêm toàn		Aa
kiềm		Ng, Aa
kiềm chế		Vtv
kiềm thúc		Vt
kiềm tính		N
kiềm toả		Vit
kiểm		Vt
kiểm chứng		Vit
kiểm dịch		Vt
kiểm duyệt		Vt
kiểm điểm		Vt
kiểm định		Vt
kiểm hoá		Vit
kiểm học		N
kiểm kê		Vt
kiểm lâm		Vit
kiểm ngân		Vit
kiểm nghiệm		Vt
kiểm ngư		Vit
kiểm nhận		Vt
kiểm sát		Vt
kiểm soát		Vt
kiểm thảo		Vt
kiểm toán		Vit
kiểm toán viên		N, Ng
kiểm tra		Vt
kiểm tu		Vt
kiếm		N, Ng, Vt
kiếm ăn		Vit
kiếm chác		Vit
kiếm chuyện		Vit
kiếm cung		N, Ng
kiếm hiệp		N
kiếm khách		N, Ng
kiếm thuật		N
kiếm tìm		Vt
kiệm		Aa
kiệm lời		Aa
kiệm ước		Aa
kiên		Aa
kiên cố		Aa
kiên cường		Aa
kiên dũng		Aa
kiên định		Vtv, Aa
kiên nghị		Aa
kiên nhẫn		Aa
kiên quyết		Aa
kiên tâm		Aa
kiên trì		Vtv, Aa
kiên trinh		Aa
kiên trung		Aa
kiền khôn		N, Ng
kiền kiền		N, Ng
kiến		N, Ng
kiến càng		N, Ng
kiến cánh		N, Ng
kiến cỏ		N, Ng
kiến đen		N, Ng
kiến giả nhất phận		X
kiến giải		N
kiến giảng		Vit
kiến gió		N, Ng
kiến hiệu		Aa
kiến lập		Vt
kiến lửa		N, Ng
kiến nghị		N, Vt
kiến quốc		Vit
kiến tạo		N, Vt
kiến tạo học		N
kiến tập		Vit
kiến thiết		Vt
kiến thiết cơ bản		N
kiến thức		N
kiến trúc		N, Vit
kiến trúc đá		N
kiến trúc địa chất		N
kiến trúc sư		N, Ng
kiến trúc thượng tầng		N
kiến vàng		N, Ng
kiến văn		N
kiến vống		N, Ng
kiện		Ng, Vt
kiện cáo		Vt
kiện khang		Aa
kiện toàn		Vt
kiện tụng		Vt
kiện tướng		N, Ng
kiêng		Vt
kiêng cữ		Vit
kiêng dè		Vt
kiêng khem		Vit
kiêng kị		Vt
kiêng kỵ		Vt
kiêng nể		Vt, Vim, Vtim
kiêng sợ		Vt, Vim, Vtim
kiềng		N, Ng, Vt
kiểng		N, Ng
kiễng		Vt
kiếng		N, Ng
kiếp		N
kiết		N, Aa
kiết cú		Aa
kiết lị		N
kiết lỵ		N
kiết xác		Aa
kiệt		N, Vit, Aa
kiệt cùng		Aa
kiệt hiệt		Aa
kiệt lực		Aa
kiệt quệ		Aa
kiệt tác		N, Ng, Aa
kiệt xuất		Aa
kiêu		Aa
kiêu bạc		Vit, Aa
kiêu binh		N, Ng
kiêu căng		Aa
kiêu dũng		Aa
kiêu hãnh		Vit, Aa
kiêu hùng		Aa
kiêu kì		Aa
kiêu kỳ		Aa
kiêu ngạo		Aa
kiêu sa		N
kiêu xa		Aa
kiều		Vt
kiều bào		N, Ng
kiều cư		Vit
kiều dân		N, Ng
kiều diễm		Aa
kiều hối		N
kiểu		N
kiểu cách		N, Aa
kiểu dáng		N
kiểu mẫu		N, Aa
kiếu		Vit
kiếu từ		Vt
kiệu		N, Ng, Vt
kilogam		Nu
kilogram		Nu
kilomet		Nu
kilooat		Nu
kilooat-giờ		Nu
kilowatt		Nu
kilowatt-giờ		Nu
kilô		Nu
kim		N, Aa
kim anh		N
kim anh tử		N
kim bản vị		Nu
kim băng		N, Ng
kim cải		N
kim chỉ nam		N
kim cúc		N
kim cương		N, Ng
kim đan		N
kim đồng		N
kim giao		N
kim hoả		N, Ng
kim hoàn		N, Ng
kim khánh		N
kim khí		N, Ng
kim lan		N
kim loại		N, Ng
kim loại đen		N, Ng
kim loại hiếm		N, Ng
kim loại học		N
kim loại kiềm		N, Ng
kim loại màu		N, Ng
kim loại nguyên sinh		N, Ng
kim loại quý		N, Ng
kim loại sạch		N, Ng
kim loại tái sinh		N, Ng
kim loại thô		N, Ng
kim móc		N, Ng
kim nam châm		N, Ng
kim ngạch		N
kim ngân		Ng
kim ngân		Ng
kim nhũ		N
kim ô		N
kim phượng		N
kim sinh học		N
kim thanh		N
kim thuộc		Ng, Aa
kim tiền		N
kim tiền		N
Kim Tinh		Np
kim tuyến		N, Ng
kim tự tháp		N, Ng
kim tương học		N
kìm		N, Ng, Vtv
kìm cộng lực		N, Ng
kìm giữ		Vt
kìm hãm		Vt
kìm kẹp		Vt
kìm nén		Vtv
kimono		N, Ng
kimônô		N, Ng
kìn kìn		Jd
kín		Vt, Aa
kín cổng cao tường		X
kín đáo		Aa
kín mít		Aa
kín nhẽ		Aa
kín nhiệm		Aa
kín như bưng		X
kín tiếng		Aa
kina		Np
kinacrin		Np
kinh		N, Ng, Vitim, Aa
kinh bang tế thế		Vit
kinh bổn		N, Ng
kinh cung chi điểu		Np
kinh dị		Aa
kinh dinh		Vit
kinh doanh		Vit
kinh điển		Aa
kinh đô		N, Ng
kinh độ		Nl
kinh độ đông		Nl
kinh độ tây		Nl
kinh động		Vit
kinh giới		N, Ng
kinh hãi		Vitim
kinh hoàng		Vitim
kinh hoảng		Vitim
kinh hồn		Vitim
kinh hồn bạt vía		Vitim
kinh kệ		N, Ng
kinh khủng		Vit
kinh kì		N, Ng
kinh kịch		N, Ng
kinh kỳ		N, Ng
kinh lạc		N, Ng
kinh lí		Vit
kinh lịch		N, Vt
kinh luân		N, Vit
kinh lược		N, Vit
kinh lược sứ		N, Ng
kinh lý		Vit
kinh ngạc		Vitim
kinh nghĩa		N
kinh nghiệm		N
kinh nguyệt		N, Ng
kinh niên		Aa
kinh phí		N
kinh phong		N
kinh qua		Vt
kinh quyền		Vit
kinh sợ		Vt, Vim, Vtim
kinh sư		N, Ng
kinh sử		N, Ng
kinh tài		N
kinh tế		N, Aa
kinh tế chính trị học		N
kinh tế hàng hoá		X
kinh tế học		N
kinh tế học chính trị		N
kinh tế phụ gia đình		N
kinh tế thị trường		N
kinh tế tự nhiên		N
kinh thành		N, Ng
Kinh Thánh		N, Ng
kinh thiên động địa		Aa
kinh tiêu		N
kinh tởm		Vt, Vim, Vtim, Aa
kinh trập		N
kinh truyện		N, Ng
kinh tuyến		N, Ng
kinh tuyến gốc		N, Ng
kinh viện		N, Aa
kinh xáng		N, Ng
kình		N
kình		N, Vt
kình địch		N, Ng, Vt
kình ngạc		N, Ng
kính		N, Ng, Vt
kính ảnh		N, Ng
kính cẩn		Aa
kính cận		Aa
kính dưỡng mục		N, Ng
kính đổi màu		N, Ng
kính hiển vi		N, Ng
kính hiển vi điện tử		N, Ng
kính lão		N, Ng
kính lão đắc thọ		X
kính lúp		N, Ng
kính mát		N, Ng
kính mến		Vt
kính nể		Vt
kính nhi viễn chi		Vit
kính phục		Vt
kính râm		N, Ng
kính thiên văn		N, Ng
kính thuốc		N, Ng
kính tiềm vọng		N, Ng
kính trọng		Vt
kính vạn hoa		N, Ng
kính viễn		N, Ng
kính viễn vọng		N, Ng
kính yêu		Vt
kinin		N, Ng
kiôt		N, Ng
kip		Np
kíp		N, Nu, Aa
kíp chầy		Aa
kíp vi sai		N, Ng
kịp		Aa
kịp thời		Aa
kịt		Aa
Kitô giáo		N
kĩu cà kĩu kịt		Aa
kĩu kịt		Aa
km		Nu
koruna		Np
krona		Np
krone		Np
kroon		Np
kruna		Np
KT		X
kuna		Np
kW		Np
kW-h		Np
kwacha		Np
kwanza		Np
ky		Aa
ky bo		Aa
ky cóp		Vt
kỳ		N, Vt, Aa, Cc
kỳ ảo		Aa
kỳ bí		Aa
kỳ binh		N, Ng
kỳ cạch		Vt, Aa
kỳ cọ		Vt
kỳ công		N, Aa
kỳ cục		Vit, Aa
kỳ cùng		Jd, Jr
kỳ cựu		N
kỳ dị		Aa
kỳ diệu		Aa
kỳ đà		N, Ng
kỳ đài		N, Ng
kỳ giông		N, Ng
kỳ hạn		N
kỳ hào		N, Ng
kỳ kèo		Vit
kỳ khôi		Aa
kỳ khu		Aa
kỳ lạ		Aa
kỳ lão		N, Ng
kỳ lân		N, Ng
